benchmark,your_tool_%,testcoca_%,testcov_%,dataset
simple_1-1_abstracted,50.0,0.0,N/A,SV-COMP
simple_1-2_abstracted,50.0,0.0,N/A,SV-COMP
simple_2-1,75.0,75.0,75.0,SV-COMP
simple_2-1_abstracted,83.3,83.3,66.7,SV-COMP
simple_2-2,100.0,100.0,50.0,SV-COMP
simple_3-1,75.0,75.0,0.0,SV-COMP
simple_3-2,75.0,75.0,75.0,SV-COMP
simple_4-1_abstracted,50.0,0.0,N/A,SV-COMP
simple_4-2_abstracted,66.7,66.7,50.0,SV-COMP
string-1,45.5,84.6,75.0,SV-COMP
string-2,90.9,92.3,75.0,SV-COMP
string_concat-noarr,50.0,N/A,N/A,SV-COMP
sum01-1,83.3,37.5,0.0,SV-COMP
sum01-2,83.3,70.0,58.3,SV-COMP
sum01_bug02,75.0,40.0,0.0,SV-COMP
sum01_bug02_sum01_bug02_base.case,83.3,37.5,0.0,SV-COMP
sum03-1,83.3,100.0,0.0,SV-COMP
sum03-2,50.0,0.0,N/A,SV-COMP
sum_array-1,40.0,0.0,N/A,SV-COMP
sum_array-2,25.0,0.0,N/A,SV-COMP
sum_array-2-1,5.6,5.6,5.6,SV-COMP
sum_array-2-2,4.5,4.5,4.5,SV-COMP
terminator_01,75.0,75.0,0.0,SV-COMP
terminator_02-1,83.3,75.0,0.0,SV-COMP
terminator_02-2,81.2,85.0,81.8,SV-COMP
terminator_02-2_abstracted,81.2,83.3,75.0,SV-COMP
terminator_03-1,100.0,90.0,25.0,SV-COMP
terminator_03-2,70.0,71.4,68.8,SV-COMP
terminator_03-2_abstracted,75.0,75.0,66.7,SV-COMP
trex01-1,100.0,100.0,85.7,SV-COMP
trex01-2,85.0,75.0,75.0,SV-COMP
trex02-1,83.3,83.3,83.3,SV-COMP
trex02-2,100.0,100.0,83.3,SV-COMP
trex03-1,100.0,93.8,27.8,SV-COMP
trex03-2,87.5,75.0,61.1,SV-COMP
trex03-2_abstracted,83.3,60.0,41.7,SV-COMP
trex04,85.0,4.5,4.5,SV-COMP
trex04_abstracted,81.8,70.8,70.8,SV-COMP
up,50.0,N/A,N/A,SV-COMP
veris.c_OpenSER_cases1_stripFullBoth_arr,56.2,0.0,N/A,SV-COMP
veris.c_sendmail_tTflag_arr_one_loop,83.3,87.5,87.5,SV-COMP
verisec_OpenSER_cases1_stripFullBoth_arr,40.9,0.0,N/A,SV-COMP
vogal-1,86.4,86.4,86.4,SV-COMP
vogal-2,88.9,100.0,94.4,SV-COMP
"--- Average (Custom, 12 benchmarks) ---",84.9,79.8,76.3,Custom
"--- Average (SV-COMP, 145 benchmarks) ---",58.1,50.4,47.7,SV-COMP
"--- Average (All, 157 benchmarks) ---",60.2,53.3,51.0,All
